price,beds,url
170000,2,https://www.rightmove.co.uk/properties/161485853#/?channel=RES_BUY
270000,3,https://www.rightmove.co.uk/properties/161486138#/?channel=RES_BUY
340000,1,https://www.rightmove.co.uk/properties/161632829#/?channel=RES_BUY
375000,2,https://www.rightmove.co.uk/properties/154016192#/?channel=RES_BUY
400000,2,https://www.rightmove.co.uk/properties/157061744#/?channel=RES_BUY
450000,2,https://www.rightmove.co.uk/properties/158468147#/?channel=RES_BUY
450000,2,https://www.rightmove.co.uk/properties/160625927#/?channel=RES_BUY
450000,3,https://www.rightmove.co.uk/properties/158013140#/?channel=RES_BUY
450000,2,https://www.rightmove.co.uk/properties/157428158#/?channel=RES_BUY
450000,3,https://www.rightmove.co.uk/properties/146638856#/?channel=RES_BUY
450000,4,https://www.rightmove.co.uk/properties/160760885#/?channel=RES_BUY
450000,4,https://www.rightmove.co.uk/properties/161199380#/?channel=RES_BUY
475000,2,https://www.rightmove.co.uk/properties/159854390#/?channel=RES_BUY
475000,3,https://www.rightmove.co.uk/properties/160947848#/?channel=RES_BUY
475000,2,https://www.rightmove.co.uk/properties/162021479#/?channel=RES_BUY
475000,3,https://www.rightmove.co.uk/properties/160952285#/?channel=RES_BUY
480000,3,https://www.rightmove.co.uk/properties/152622860#/?channel=RES_BUY
490000,2,https://www.rightmove.co.uk/properties/157396115#/?channel=RES_BUY
495000,3,https://www.rightmove.co.uk/properties/150501764#/?channel=RES_BUY
499995,3,https://www.rightmove.co.uk/properties/148290659#/?channel=RES_BUY
500000,3,https://www.rightmove.co.uk/properties/159403928#/?channel=RES_BUY
500000,3,https://www.rightmove.co.uk/properties/159951122#/?channel=RES_BUY
500000,3,https://www.rightmove.co.uk/properties/157459163#/?channel=RES_BUY
500000,3,https://www.rightmove.co.uk/properties/160019243#/?channel=RES_BUY
500000,3,https://www.rightmove.co.uk/properties/152652737#/?channel=RES_BUY
500000,2,https://www.rightmove.co.uk/properties/160557668#/?channel=RES_BUY
500000,3,https://www.rightmove.co.uk/properties/158570513#/?channel=RES_BUY
500000,2,https://www.rightmove.co.uk/properties/150526448#/?channel=RES_BUY
515000,3,https://www.rightmove.co.uk/properties/156939041#/?channel=RES_BUY
520000,3,https://www.rightmove.co.uk/properties/162060809#/?channel=RES_BUY
525000,3,https://www.rightmove.co.uk/properties/160148786#/?channel=RES_BUY
525000,3,https://www.rightmove.co.uk/properties/159598622#/?channel=RES_BUY
525000,2,https://www.rightmove.co.uk/properties/160305860#/?channel=RES_BUY
525000,3,https://www.rightmove.co.uk/properties/161818325#/?channel=RES_BUY
525000,3,https://www.rightmove.co.uk/properties/157329332#/?channel=RES_BUY
525000,3,https://www.rightmove.co.uk/properties/157341545#/?channel=RES_BUY
525000,3,https://www.rightmove.co.uk/properties/157829078#/?channel=RES_BUY
525000,2,https://www.rightmove.co.uk/properties/159845903#/?channel=RES_BUY
525000,2,https://www.rightmove.co.uk/properties/155686703#/?channel=RES_BUY
535000,3,https://www.rightmove.co.uk/properties/161008619#/?channel=RES_BUY
535000,3,https://www.rightmove.co.uk/properties/161211020#/?channel=RES_BUY
535000,3,https://www.rightmove.co.uk/properties/155803469#/?channel=RES_BUY
540000,5,https://www.rightmove.co.uk/properties/158100323#/?channel=RES_BUY
545000,3,https://www.rightmove.co.uk/properties/145718867#/?channel=RES_BUY
545000,4,https://www.rightmove.co.uk/properties/160673459#/?channel=RES_BUY
550000,3,https://www.rightmove.co.uk/properties/158209196#/?channel=RES_BUY
550000,3,https://www.rightmove.co.uk/properties/160078139#/?channel=RES_BUY
550000,3,https://www.rightmove.co.uk/properties/159386597#/?channel=RES_BUY
550000,3,https://www.rightmove.co.uk/properties/160804181#/?channel=RES_BUY
550000,3,https://www.rightmove.co.uk/properties/157291931#/?channel=RES_BUY
550000,4,https://www.rightmove.co.uk/properties/160084043#/?channel=RES_BUY
550000,2,https://www.rightmove.co.uk/properties/158732381#/?channel=RES_BUY
550000,3,https://www.rightmove.co.uk/properties/159653489#/?channel=RES_BUY
550000,3,https://www.rightmove.co.uk/properties/160822694#/?channel=RES_BUY
550000,3,https://www.rightmove.co.uk/properties/157738811#/?channel=RES_BUY
560000,3,https://www.rightmove.co.uk/properties/147379313#/?channel=RES_BUY
575000,3,https://www.rightmove.co.uk/properties/158917217#/?channel=RES_BUY
575000,3,https://www.rightmove.co.uk/properties/161539127#/?channel=RES_BUY
575000,4,https://www.rightmove.co.uk/properties/161135978#/?channel=RES_BUY
